species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
E2558W	0	0	0	0	0	0	0	0	0	0	0	0	NA	1.449250681	NA	5.078977461	1.499270427	5.3728104	3.430804759	NA	3.226583158	3.0846	0
EP1	0	0	0	0	0	0	0	0	0	0	0	0	3.828334854	NA	3.144762186	NA	3.788617771	3.225160557	3.513581647	3.384816653	NA	4.1391	0
F2834T	0	0	0	0	0	4331.82	0	0	0	0	0	0	6.828334854	8.33753406	7.144762186	6.805392555	6.945826452	7.514578697	7.236595712	6.884816653	7.66867461	2.6256	4331.82
F44	0	0	4686.21	0	0	9372.42	0	0	0	0	0	0	2.339084229	NA	1.597260813	NA	2.593637377	1.800075807	2.218655004	1.990248415	NA	2.2643	14058.63
F6	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	4.708106267	2.71038547	NA	3.348336254	2.94380462	3.492833198	2.641606356	4.671992101	2.5298	0
F7	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	NA	7.144762186	NA	6.788617771	7.225160557	7.013581647	6.884816653	NA	2.8151	0
GA209	0	0	0	0	0	0	0	0	0	0	0	3948.46	2.956022198	NA	1.257886843	NA	2.989872673	1.36888937	2.189849986	2.036174594	NA	3.0656	3948.46
GT112	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	1.819822888	3.484136156	NA	2.345199001	3.656346995	3.081540406	2.838890475	2.729900649	2.5542	0
H105W	0	0	0	0	0	6358.3	0	0	0	0	0	13988.26	7.466771572	2.078678474	7.71038547	6.987782492	4.747708804	7.730171916	6.250998221	7.641606356	4.540613642	3.432	20346.56
H49	0	0	0	0	0	0	0	10970.88	0	0	0	0	6.083709542	4.078678474	3.371011499	3.987782492	4.945826452	4.014578697	4.486595712	4.687532534	4.040613642	2.6663	10970.88
H84	0	0	0	0	0	0	0	0	0	0	0	0	6.211396885	NA	7.484136156	NA	6.392382476	7.656346995	7.042386665	6.838890475	NA	2.4281	0
H91	0	0	0	0	0	0	0	0	0	0	0	0	6.211396885	5.078678474	7.484136156	5.987782492	5.546453902	7.086443104	6.324729882	6.838890475	5.540613642	3.4667	0
H95	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	2.33753406	2.597260813	1.805392555	1.848336254	2.802036322	2.339132391	2.490248415	2.16867461	1.9136	0
H99	0	0	0	0	0	0	0	0	0	0	0	0	1.466771572	-0.180177112	4.71038547	2.170172429	1.046453902	3.586443104	2.324729882	3.141606356	0.912552674	1.9514	0
HI27	0	0	0	0	0	0	4208.34	0	0	0	0	0	2.466771572	5.33753406	7.71038547	6.805392555	3.448963705	7.873900729	5.67726656	5.141606356	6.16867461	3.91	4208.34
HP301	0	0	0	0	0	0	0	10373.92	0	0	0	10373.91	2.083709542	NA	4.371011499	NA	2.191127574	4.512618182	3.366118325	3.187532534	NA	2.9479	20747.83
HY	0	0	0	0	0	0	0	0	0	0	0	0	6.956022198	NA	7.257886843	NA	6.989872673	7.36888937	7.189849986	7.036174594	NA	3.6267	0
I137TN	0	0	0	0	0	0	0	0	0	0	0	2422.44	2.956022198	6.449250681	2.257886843	7.078977461	4.74457155	4.870849885	4.810327373	2.536174594	6.726583158	2.6424	2422.44
I29	0	4706.14	0	0	0	0	0	0	0	0	0	0	6.956022198	5.819822888	6.257886843	7.170172429	6.643944099	6.798985479	6.722193203	6.536174594	6.412552674	2.8128	4706.14
IA2132	0	0	0	0	0	0	0	0	0	0	0	16478.8	2.956022198	NA	7.257886843	NA	2.989872673	7.36888937	5.189849986	5.036174594	NA	2.634	16478.8
IA5125	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	NA	NA	NA	1.788617771	NA	2.418893116	2.367229095	NA	3.8968	0
IDS28	0	0	0	0	0	0	0	0	0	0	0	0	6.211396885	2.078678474	5.484136156	NA	4.046453902	5.656346995	4.865719299	5.838890475	2.357961617	2.3896	0
IDS91	0	0	0	0	0	0	0	0	0	0	0	0	6.466771572	2.708106267	6.71038547	0.896587524	4.348336254	4.302036322	4.339132391	6.641606356	1.854644126	3.649	0
IL101	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	4.078678474	7.371011499	6.987782492	5.445826452	7.514578697	6.486595712	7.187532534	5.540613642	4.1572	0
IL14H	0	0	0	0	0	0	0	0	0	0	0	0	6.90924701	2.819822888	6.856459056	4.896587524	6.409151383	6.729039834	6.693035183	6.984828005	4.3835984	3.3881	0
K148	0	51540.24	0	0	0	0	0	4295.02	0	0	0	0	2.083709542	3.33753406	4.371011499	4.805392555	2.147081353	5.15830751	3.662864051	3.187532534	4.16867461	3.3049	55835.26
K4	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	5.708106267	3.71038547	NA	3.848336254	3.94380462	4.159499865	3.141606356	5.671992101	3.2063	0
K55	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	0.449250681	5.71038547	7.078977461	1.647081353	6.65830751	4.162864051	4.141606356	3.726583158	3.2844	0
K64	0	0	0	0	0	0	0	0	0	0	0	0	7.211396885	5.819822888	7.484136156	7.170172429	6.845199001	7.442714291	7.148461542	7.338890475	6.412552674	3.1853	0
KI11	0	0	0	0	0	0	0	0	0	0	0	0	6.956022198	5.33753406	7.257886843	0.805392555	5.546453902	4.586443104	5.074729882	7.036174594	3.16867461	3.5811	0
KI14	0	0	0	0	0	0	0	0	0	0	0	0	3.466771572	NA	1.71038547	NA	3.794892279	1.94380462	2.894923343	2.641606356	NA	NA	0
KI3	0	0	0	0	0	4640.52	0	0	0	0	6960.78	6960.78	NA	5.819822888	NA	NA	6.298015526	NA	7.159847889	NA	6.729900649	2.5572	18562.08
KI43	0	0	0	0	0	0	0	0	0	0	0	0	3.466771572	NA	7.71038547	NA	3.794892279	7.94380462	5.894923343	5.641606356	NA	2.154	0
KI44	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	3.371011499	NA	NA	3.512618182	2.960806857	2.705120092	NA	2.054	0
KY21	0	0	0	0	0	0	0	0	0	0	0	0	3.956022198	5.819822888	4.257886843	4.170172429	5.143944099	4.298985479	4.722193203	4.036174594	4.912552674	3.2802	0
KY226	0	0	0	0	0	0	0	0	0	0	0	0	5.339084229	NA	7.597260813	NA	5.593637377	7.800075807	6.718655004	6.490248415	NA	3.2586	0
KY228	0	7226.96	0	0	0	0	0	0	0	0	0	0	6.828334854	3.33753406	7.144762186	3.805392555	4.445826452	6.014578697	5.236595712	6.884816653	3.66867461	3.4652	7226.96
L578	0	0	0	0	0	0	0	0	0	0	0	0	7.466771572	NA	6.71038547	NA	7.794892279	6.94380462	7.394923343	7.141606356	NA	2.9535	0
M14	0	0	0	0	0	0	0	0	0	0	0	0	3.828334854	2.33753406	7.144762186	NA	2.445826452	7.225160557	4.297361513	5.384816653	1.986022585	3.236	0
M162W	0	0	0	0	0	0	0	0	0	0	0	0	6.956022198	5.819822888	7.257886843	7.170172429	6.643944099	7.298985479	6.972193203	7.036174594	6.412552674	3.5399	0
M37W	0	0	0	0	0	0	0	0	0	0	0	0	4.083709542	4.819822888	2.371011499	NA	4.74457155	2.512618182	4.297361513	3.187532534	5.729900649	3.0583	0
MO17	0	0	0	0	0	0	0	10990.04	0	0	0	0	3.445901713	4.328678474	5.698853344	2.593652513	3.828940883	4.836008259	4.360358665	4.571300607	3.747100634	3.0714	10990.04
MO18W	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	7.708106267	NA	4.896587524	4.747708804	5.660268025	5.23021645	2.972660857	6.354644126	2.5322	0
MO1W	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	NA	7.144762186	NA	1.788617771	7.225160557	4.513581647	4.384816653	NA	2.9182	0
MO24W	0	0	0	0	0	0	0	0	0	0	0	11615.56	NA	1.449250681	NA	NA	1.499270427	NA	2.336116228	NA	2.043931133	2.8247	11615.56
MO44	0	0	0	0	0	0	0	0	0	0	0	0	4.339084229	3.078678474	7.597260813	6.987782492	3.647081353	7.65830751	5.662864051	5.990248415	5.040613642	3.3657	0
MO45	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	-0.180177112	2.597260813	2.170172429	1.445826452	2.514578697	1.986595712	2.490248415	0.912552674	2.3912	0
MO46	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	7.078678474	2.71038547	NA	4.747708804	2.94380462	4.434077085	2.641606356	7.357961617	2.2691	0
MO47	0	0	0	0	0	0	0	0	0	0	0	0	NA	6.449250681	6.144762186	1.078977461	6.499270427	3.798985479	4.489959899	5.402404211	3.726583158	3.0888	0
MOG	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	3.708106267	NA	3.896587524	5.046453902	4.660268025	5.112704223	7.669944976	3.854644126	3.0533	0
MP339	0	0	0	0	0	0	0	0	0	0	0	0	3.211396885	6.33753406	6.484136156	6.805392555	4.247708804	7.230171916	5.750998221	4.838890475	6.66867461	3.1104	0
MS1334	0	0	0	0	0	0	0	0	0	0	0	0	4.956022198	NA	7.257886843	NA	4.989872673	7.36888937	6.189849986	6.036174594	NA	3.2388	0
MS153	0	0	0	0	0	0	0	0	0	0	0	0	5.339084229	3.449250681	7.597260813	3.078977461	4.546453902	5.586443104	5.074729882	6.490248415	3.226583158	3.3382	0
MS71	0	37462.2	0	0	0	0	0	0	0	0	0	0	5.339084229	2.708106267	5.597260813	6.896587524	3.747708804	6.730171916	5.250998221	5.490248415	4.854644126	3.1917	37462.2
MT42	0	0	0	0	0	0	0	0	0	0	0	0	4.466771572	6.449250681	4.71038547	7.078977461	5.647081353	6.15830751	5.912864051	4.641606356	6.726583158	2.2675	0
N192	0	0	0	0	0	0	0	0	0	0	0	0	3.083709542	NA	2.371011499	NA	3.191127574	2.512618182	2.866118325	2.687532534	NA	2.7277	0
N28HT	0	0	0	0	0	0	0	0	0	0	0	0	3.339084229	6.449250681	7.597260813	7.078977461	5.046453902	7.586443104	6.324729882	5.490248415	6.726583158	2.8827	0
N6	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	4.33753406	7.484136156	3.805392555	2.747708804	6.230171916	4.500998221	4.838890475	4.16867461	2.1156	0
N7A	0	0	36626.75	0	0	0	0	0	0	0	0	0	6.211396885	NA	2.484136156	3.170172429	6.392382476	2.942714291	3.81133276	4.338890475	2.0952047	2.6164	36626.75
NC222	0	0	0	0	0	0	0	0	0	0	0	0	3.828334854	6.078678474	NA	6.987782492	4.74457155	7.516539212	5.877679771	4.367229095	6.540613642	1.7702	0
NC230	0	0	0	0	0	0	0	0	0	0	0	0	5.339084229	6.078678474	7.597260813	6.987782492	5.647081353	7.65830751	6.662864051	6.490248415	6.540613642	2.7042	0
NC232	0	0	0	0	0	0	0	0	0	0	0	0	3.956022198	6.449250681	3.257886843	NA	5.24457155	3.36888937	4.905272067	3.536174594	7.043931133	3.1751	0
NC236	0	0	0	0	0	0	0	0	0	0	0	0	NA	3.819822888	7.257886843	4.170172429	4.298015526	5.798985479	5.097870452	6.553762151	3.912552674	3.5738	0
NC238	0	0	0	0	0	0	0	0	0	0	0	0	5.956022198	NA	NA	NA	5.989872673	NA	6.595161455	6.518587036	NA	3.2829	0
NC250	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	6.449250681	7.144762186	7.078977461	4.143944099	7.298985479	5.722193203	4.384816653	6.726583158	3.109	0
NC258	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	5.708106267	7.597260813	5.896587524	3.747708804	7.230171916	5.500998221	4.990248415	5.854644126	2.62	0
NC260	0	0	0	0	0	0	0	0	0	0	0	0	6.211396885	7.33753406	5.484136156	5.805392555	6.247708804	6.230171916	6.250998221	5.838890475	6.66867461	3.4477	0
NC262	0	0	0	0	0	0	0	0	0	0	0	0	4.211396885	NA	3.484136156	NA	4.392382476	3.656346995	4.042386665	3.838890475	NA	2.2474	0
NC264	0	4114.56	0	0	0	0	0	0	0	0	0	0	3.211396885	3.449250681	6.484136156	4.078977461	3.445826452	5.514578697	4.486595712	4.838890475	3.726583158	2.4628	4114.56
NC290A	0	0	0	0	0	0	0	0	0	0	0	0	7.339084229	6.449250681	3.597260813	6.078977461	7.046453902	5.086443104	6.074729882	5.490248415	6.226583158	2.8751	0
NC294	0	0	0	0	0	0	0	11503.86	0	0	0	0	6.956022198	3.819822888	7.257886843	3.170172429	5.643944099	5.298985479	5.472193203	7.036174594	3.412552674	3.0427	11503.86
NC296	0	0	0	0	6648.98	0	0	0	0	0	0	6648.98	2.339084229	5.33753406	NA	1.805392555	3.348336254	2.803996837	3.347728676	2.972660857	3.66867461	2.3625	13297.96
NC296A	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	NA	1.597260813	NA	2.593637377	1.800075807	2.218655004	1.990248415	NA	2.9053	0
NC300	0	0	0	0	0	0	0	0	0	0	0	0	3.828334854	5.078678474	3.144762186	6.987782492	4.24457155	5.370849885	4.810327373	3.384816653	6.040613642	2.7474	0
NC304	0	0	0	0	0	0	0	0	0	0	0	0	2.828334854	NA	7.144762186	3.805392555	2.788617771	6.014578697	4.693820534	4.884816653	4.351326635	2.74	0
NC306	0	15389.42	0	0	0	0	0	0	0	0	0	0	2.339084229	3.33753406	7.597260813	3.805392555	2.348336254	6.302036322	4.339132391	4.990248415	3.66867461	2.95	15389.42
NC310	0	0	0	0	0	0	0	0	0	0	0	10890.64	1.828334854	NA	2.144762186	6.805392555	1.788617771	5.014578697	3.693820534	1.884816653	7.351326635	2.3913	10890.64
NC314	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	5.819822888	7.144762186	7.170172429	6.543316649	7.227121072	6.884059033	6.884816653	6.412552674	3.5461	0
NC318	0	0	0	0	0	0	0	0	0	0	0	0	0.956022198	-0.180177112	2.257886843	3.170172429	0.643944099	2.798985479	1.722193203	1.536174594	1.412552674	2.2333	0
NC320	0	67618.24	0	0	0	0	0	0	0	0	0	0	2.466771572	1.078678474	2.71038547	0.987782492	1.747708804	2.230171916	2.000998221	2.641606356	1.040613642	2.1996	67618.24
NC324	0	0	0	0	0	0	0	0	0	0	0	8262.975	6.339084229	7.708106267	6.597260813	4.896587524	6.747708804	6.230171916	6.500998221	6.490248415	6.354644126	3.8483	8262.975
NC326	0	0	0	0	0	0	0	0	0	0	0	0	5.956022198	6.33753406	7.257886843	6.805392555	5.546453902	7.586443104	6.574729882	6.536174594	6.66867461	3.018	0
NC328	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	3.819822888	5.144762186	3.170172429	3.043316649	4.227121072	3.634059033	3.384816653	3.412552674	2.4236	0
NC33	0	4250.88	0	0	0	0	0	0	0	0	0	0	1.956022198	4.449250681	5.257886843	2.078977461	3.24457155	3.870849885	3.560327373	3.536174594	3.226583158	3.1403	4250.88
NC336	0	0	0	0	0	0	0	0	0	0	0	0	1.466771572	7.33753406	2.71038547	6.805392555	3.948963705	5.373900729	4.67726656	2.141606356	7.16867461	2.0239	0
NC338	0	0	0	0	0	0	0	0	0	0	0	0	2.828334854	NA	5.144762186	NA	2.788617771	5.225160557	4.013581647	3.884816653	NA	2.2911	0
NC340	0	3853.66	0	0	0	0	0	0	0	0	0	0	5.083709542	2.078678474	6.371011499	NA	3.445826452	6.512618182	4.748207073	5.687532534	2.357961617	2.5919	3853.66
NC342	0	0	0	0	0	0	0	0	0	0	0	0	4.828334854	3.819822888	7.144762186	6.170172429	4.543316649	6.727121072	5.634059033	5.884816653	4.912552674	2.6674	0
NC344	0	0	0	0	0	0	0	0	0	0	0	0	6.083709542	8.33753406	4.371011499	1.805392555	6.647081353	3.65830751	5.162864051	5.187532534	5.16867461	2.9109	0
NC346	0	0	0	0	0	0	0	0	0	0	0	0	1.211396885	4.819822888	2.484136156	3.170172429	3.345199001	2.942714291	3.148461542	1.838890475	3.912552674	2.2939	0
NC348	0	0	0	0	0	0	0	0	0	0	0	0	7.339084229	NA	7.597260813	NA	7.593637377	7.800075807	7.718655004	7.490248415	NA	3.6444	0
NC350	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	0.449250681	1.144762186	4.078977461	1.143944099	2.798985479	1.972193203	1.384816653	2.226583158	2.5062	0
NC352	0	0	3103.77	0	6207.54	0	0	0	0	0	0	4655.655	2.466771572	3.449250681	7.71038547	NA	3.147081353	7.94380462	5.041987638	5.141606356	4.043931133	2.3346	13966.965
NC354	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	NA	NA	NA	2.392382476	NA	2.947698134	2.821302917	NA	2.498	0
NC356	0	0	0	0	0	0	0	0	0	0	0	12507.2	1.956022198	7.708106267	7.257886843	3.896587524	4.445826452	6.014578697	5.236595712	4.536174594	5.854644126	2.0904	12507.2
NC358	0	0	0	0	0	0	0	0	0	0	0	0	2.551787706	3.921321526	4.838886293	6.715245805	3.145512726	5.78205467	4.491769267	3.723121805	5.094221717	1.8987	0
NC360	0	0	0	0	0	0	0	0	0	0	0	11907.12	NA	5.078678474	NA	6.987782492	4.700525329	7.516539212	6.107073098	NA	6.040613642	2.6234	11907.12
NC362	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	2.33753406	3.371011499	1.805392555	4.147081353	3.15830751	3.662864051	5.187532534	2.16867461	2.3064	0
NC364	0	0	0	0	0	0	0	0	0	0	0	6619.42	7.466771572	2.078678474	NA	2.987782492	4.747708804	3.516539212	4.50479367	8.124018798	2.540613642	2.5762	6619.42
NC366	0	0	0	0	0	0	0	0	0	0	0	9124.94	NA	8.33753406	NA	4.805392555	7.103035132	5.803996837	6.459609777	NA	6.66867461	2.7934	9124.94
NC368	0	12347.1	0	0	0	0	0	0	0	0	0	0	0.828334854	NA	7.144762186	4.805392555	0.788617771	6.514578697	4.360487201	3.884816653	5.351326635	3.0371	12347.1
ND246	0	0	0	0	0	0	0	0	0	0	0	0	4.466771572	7.708106267	2.71038547	NA	5.848336254	2.94380462	5.159499865	3.641606356	7.671992101	3.6138	0
OH40B	0	0	0	0	0	0	0	9623.02	0	0	0	0	7.211396885	6.078678474	7.484136156	6.987782492	6.546453902	7.586443104	7.074729882	7.338890475	6.540613642	3.1532	9623.02
OH43	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	3.449250681	5.597260813	5.078977461	3.046453902	5.586443104	4.324729882	3.990248415	4.226583158	2.9271	0
OH43E	0	0	0	0	0	0	0	0	0	0	0	0	3.211396885	8.33753406	7.484136156	4.805392555	5.247708804	6.730171916	6.000998221	5.338890475	6.66867461	3.1136	0
OH7B	0	0	0	0	0	0	0	0	0	0	0	0	7.211396885	NA	7.484136156	NA	7.392382476	7.656346995	7.542386665	7.338890475	NA	3.5376	0
OS420	0	0	0	0	0	0	0	0	0	0	0	0	3.083709542	1.708106267	6.371011499	4.896587524	2.046453902	6.086443104	4.074729882	4.687532534	3.354644126	2.8109	0
