Taxa	DTA	Rust	SLB	SLBtoxin	NLB	GLS
CMV3	67	2.3729	3.689158334	0	4.3178	3.899
CO106	67	4.625	4.734258334	0	NA	4.4083
CO125	69.75	4.3771	4.687808334	1.25	3.694	4.262
CO255	66.25	6.699	5.553233334	NA	3.4757	3.0731
D940Y	104	0.7219	7.141383334	NA	7.1797	7.1602
DE_2	85.5	NA	6.109758334	NA	6.6191	5.1208
DE_3	88	NA	7.713516667	NA	7.5535	NA
DE1	91.5	2.25	6.216205834	NA	7.1624	6.167
DE811	90.75	4.75	7.194933334	0	5.6227	6.5997
E2558W	95	NA	4.850808334	3	6.8826	5.7317
EP1	69.5	5.375	6.726658334	0	5.9408	4.4915
F2834T	94	NA	6.874983334	2	7.4636	7.0053
F44	98.75	5.5	5.680015834	3.5	4.6612	6.5165
F6	108	3.375	5.660233334	1.875	6.3012	7.0881
F7	67.25	4.3117	3.876608334	0	3.9588	3.0363
GA209	99.75	4.75	6.274608334	0.625	6.2609	NA
GT112	109.75	2.875	6.046223334	1.125	5.9051	6.2197
H105W	75.75	3.875	5.604983334	0.75	5.3701	5.9798
H49	86	3.875	5.601458334	2.25	7.141	5.6736
H84	80.75	3.75	6.575433334	1.75	5.9123	6.4335
H91	85.5	NA	5.438658334	3.25	4.8628	5.3017
H95	86.75	3.375	6.900158334	0.125	7.2447	6.3155
H99	78.75	2.5	6.949833334	1	8.0473	5.9804
HI27	102	3.125	7.123958334	3	6.3432	6.9828
HP301	87	1.25	4.859308334	2	5.5903	5.4303
HY	86.75	2.625	5.141383334	0.375	5.8299	4.7218
I137TN	96.5	1.875	6.784633334	3.5	7.4422	2.8404
I205	89	2.6229	5.639233334	0.5	4.9721	5.0507
I29	78	4.125	4.617258334	0.75	6.0522	4.363
IA2132	73.5	5.125	6.601110834	0	6.0981	6.0563
IA5125	76	3.3729	4.630408334	0	4.8779	NA
IDS28	84	5.125	5.646708334	0	5.4764	5.2762
IDS69	87	3.375	6.404308334	1	5.5477	5.6677
IDS91	82.25	1.875	6.090185834	1	5.3481	5.7545
IL101	75.75	6.3771	5.970758334	0	5.4889	4.0316
IL14H	76.5	4.625	6.127208334	3.25	5.6167	4.0554
IL677A	86.25	2.375	4.316658334	2.5	6.3437	5.3049
K148	81	4.375	5.967043334	1.875	7.1396	5.5981
K4	95.75	3.375	5.075183334	0.75	5.3931	5.8763
K55	90	4.75	4.761808334	0	5.2857	5.5286
K64	93.5	2.5	6.614358334	1	5.8522	6.991
KI11	105	2.75	7.491383334	0.125	6.9092	5.2815
KI14	102.5	NA	7.500708334	1	6.7883	5.1181
KI2021	104	3.1229	7.302358334	1	6.6964	NA
KI21	98.5	2.5905	7.406233334	0.5	6.4492	7.621
KI3	104.25	NA	7.467708334	1	7.2639	7.7321
KI43	102.5	2.5	7.341108334	0	6.6989	2.5283
KI44	106.25	NA	6.778458334	3	6.3516	NA
KY21	98.25	4.625	5.929583334	0.625	5.7503	6.2802
KY226	91.5	3.75	5.782933334	1.75	6.6998	6.3706
KY228	99	4.5	5.542508334	2	4.9366	5.985
L317	82	2.6229	6.349133334	NA	6.3456	5.9814
L578	99	4.4431	5.770208334	2	5.3888	5.7623
M14	82.5	3.5	6.209713334	2.25	6.0915	5.5514
M162W	100.5	3.25	6.818358334	2	7.0361	5.984
M37W	93	0.375	6.954433334	1	7.2103	6.3448
MEF156-55-2	70.75	5.75	6.402983334	0	NA	4.5058
MO17	84.5	2.625	7.681558334	0.25	7.0029	6.6631
MO18W	105.5	NA	6.692158334	1	6.2024	7.2626
MO1W	89.75	2.75	4.939483334	1.25	6.0796	5.2566
MO24W	91	5.75	5.480383334	1.25	5.239	6.0272
MO44	81.75	2.3771	6.145200834	1	6.8125	4.2595
MO45	90.25	4.5	6.175858334	0.5	5.5378	6.1138
MO46	88.75	NA	3.991658334	3.25	5.5768	4.137
MO47	86.25	4.625	5.457758334	4	7.1178	6.0927
MOG	91.5	2.625	6.550343334	2.375	5.5351	5.2778
MP339	98.5	3.3771	6.077325834	NA	6.6017	6.4399
MS1334	73.25	3.8358	4.466558334	NA	6.0338	4.1694
MS153	77.75	2.75	6.740558334	NA	6.4502	5.2916
MS71	82.75	NA	5.573883334	2.25	5.9293	5.6308
MT42	68.25	5.125	4.350608334	2.625	3.0984	2.9803
N192	78.75	4.625	4.559658334	1	3.4557	4.6472
N28HT	87.75	3.5	3.828658334	0.5	4.4005	5.4914
N6	80	3.125	5.523058334	0	5.8075	6.1794
N7A	86	3.5	5.001658334	3.5	5.7442	5.4829
NC222	98.75	3.25	5.314758334	0	6.5942	NA
NC230	92.75	3.5	5.930158334	0	6.9009	6.2869
NC232	95	3.5	5.892703334	0.125	5.6242	7.193
NC236	100.5	4.375	6.851258334	1	7.0963	4.0072
NC238	100	2.8729	6.357890834	0	5.9498	5.7102
NC250	87.75	3.875	7.996758334	0.25	6.0347	7.5426
NC258	93	NA	7.286433334	2.875	7.7714	7.0809
NC260	83.25	1.5	7.044908334	0.75	7.4941	6.5744
NC262	79.5	2.625	7.165158334	0.5	8.2192	6.6181
NC264	88.5	3.75	6.626258334	1	7.1932	7.0394
NC290A	84.75	3.25	7.055058334	2	7.5543	6.769
NC294	86.75	3.5	6.334570834	0.875	5.1823	6.0918
NC296	99.75	2.875	7.363008334	2.125	7.1705	6.9685
NC296A	97	2.25	7.293583334	NA	6.651	6.8892
NC298	99.5	4.1229	7.205533334	1.25	6.8408	6.9698
NC300	98	3.75	7.122008334	0	5.9452	7.1517
NC302	101	1.8729	7.414058334	2	7.1703	7.375
NC304	95.25	1.375	7.540308334	2	7.3404	7.8234
NC306	89	3.375	7.026333334	1.75	4.7677	6.0023
NC310	85.75	3.625	6.559133334	0.375	5.4107	6.4034
NC314	86.25	4.625	7.439058334	1.625	6.304	6.3924
NC318	94	3.875	6.320733334	0	6.4997	7.1828
NC320	96	4.375	6.443683334	2	5.928	7.0767
NC324	87	3.625	7.495758334	1.75	5.8852	6.8689
NC326	87	3.875	6.042533334	1	5.1025	5.6649
NC328	82.75	2.75	6.682433334	0.375	6.0843	6.491
NC33	100	3.7273	6.562683334	0	5.6317	5.6798
NC336	102	3.2674	7.571058334	1.75	6.9947	7.313
NC338	99	2.875	6.712033334	1.625	7.8315	6.8554
NC340	95	4.8729	7.255958334	3	5.7912	7.1912
NC342	90	3.25	6.992233334	2.75	7.5283	6.7028
NC344	95.5	2.875	7.697908334	2	7.4719	7.2942
NC346	96	3.1229	7.457383334	2.75	7.2135	6.9452
NC348	95	4.25	7.132483334	2	6.667	7.092
NC350	98	3.5	7.632033334	1.875	6.2318	6.8809
NC352	105	3.75	7.200758334	NA	7.0469	7.1536
NC354	97.5	1.625	6.597933334	0.75	6.9921	6.394
NC356	96.25	2.375	6.679658334	2.25	6.7655	7.1073
NC358	95.25	2.125	6.877833334	0.375	7.3116	6.1971
NC360	93.5	2.625	7.094383334	0.25	6.5907	6.4466
NC362	86	2.75	6.830408334	3.875	7.4287	6.225
NC364	82.5	NA	7.093933334	4	7.1945	5.9952
NC366	99	3.5	7.448108334	0.875	6.6386	7.3044
NC368	87.5	3.875	6.737508334	0	5.8599	6.8139
ND246	67.5	7.1589	5.196033334	4	5.11	5.6457
OH40B	78.5	4.75	5.934458334	1	5.7113	3.8756
OH43	74	2.625	7.050408334	0.625	6.0045	5.7405
